P_MUNIC,inundacion,exceso_lluvia,sequia,total_riesgos,Credito_Solicitado,Credito_Aprobado,P_S6P71,total_agro,Credito_banco,Credito_ong,Credito_gobierno,Credito_onu,inversion_tecnologia,inversion_otros,area_cultivo,area_bosques,area_nocultivada,area_infraestructura,infraestructura_en_construccion,agua_lluvia,agua_fuente_natural,agua_no_acceso,agua_acueducto,agua_carrotanque,distrito_riego,no_agua_contaminacion,no_agua_desastres_naturales,no_agua_sequia,no_agua_fallos_servicio
19001,0,7,17,14633,775.0,684.0,5958.0,5420,702.0,2.0,6.0,1.0,50.0,708.0,248359215.92420846,53755800.49037435,37021482.51863741,3581766.5807524426,787.0,615.0,2553.0,405.0,1635.0,34.0,10.0,200.0,517.0,1861.0,517.0
19022,0,12,87,11335,204.0,159.0,1322.0,10257,156.0,1.0,1.0,0.0,7.0,190.0,65977673.76229593,122424198.20785727,36121412.63220575,1718195.5654727821,323.0,4069.0,3951.0,2380.0,71.0,4.0,77.0,154.0,265.0,4688.0,265.0
19050,0,0,0,8134,416.0,303.0,3942.0,3736,307.0,0.0,1.0,1.0,10.0,359.0,166675311.5213478,436181424.7155882,146165464.51989,282446.3201009302,606.0,342.0,2577.0,386.0,469.0,14.0,19.0,293.0,146.0,813.0,146.0
19075,0,0,0,9995,559.0,497.0,840.0,4419,497.0,2.0,2.0,0.0,15.0,604.0,202064639.4337593,89110510.37047227,83559063.90765598,257900.47399432317,647.0,810.0,3102.0,458.0,24.0,1.0,25.0,174.0,231.0,3142.0,231.0
19100,0,4,10,20519,537.0,466.0,1370.0,23205,484.0,2.0,1.0,1.0,24.0,522.0,347743047.1322299,62089047.44286687,304404938.33565974,131228.08069378408,298.0,1814.0,10235.0,9922.0,1011.0,33.0,89.0,179.0,659.0,11818.0,659.0
19110,0,0,8,16887,585.0,454.0,10183.0,6474,441.0,6.0,13.0,0.0,21.0,507.0,173596053.07504788,67820396.98646575,94761398.62497863,4225333.26466786,742.0,1976.0,3200.0,825.0,542.0,6.0,9.0,325.0,177.0,3104.0,177.0
19130,0,0,0,11519,791.0,706.0,2825.0,4961,727.0,3.0,1.0,0.0,58.0,762.0,224380081.4752946,79402275.69178846,138800712.91571927,4760092.069502199,455.0,233.0,3686.0,653.0,497.0,6.0,4.0,278.0,220.0,1937.0,220.0
19137,0,1,4,12295,898.0,829.0,3481.0,6261,860.0,4.0,2.0,1.0,50.0,1091.0,149061968.9961026,96841388.2105937,59597450.54851822,601029.8757901681,294.0,855.0,4245.0,916.0,130.0,8.0,18.0,119.0,304.0,2446.0,304.0
19142,16,13,58,10201,575.0,515.0,3649.0,4116,483.0,7.0,33.0,2.0,60.0,766.0,162297505.81650093,81552174.40476215,11598251.400203295,7057177.685690746,1028.0,1282.0,1971.0,723.0,463.0,6.0,31.0,234.0,343.0,1976.0,343.0
19212,0,0,0,4172,111.0,97.0,1347.0,2514,35.0,1.0,62.0,0.0,61.0,211.0,137447497.8318678,84318736.39458126,14277199.555837158,5072800.795652998,233.0,422.0,1186.0,817.0,55.0,1.0,0.0,64.0,59.0,914.0,59.0
19256,0,5,1,38316,1716.0,1469.0,10925.0,12668,1532.0,13.0,11.0,0.0,85.0,1711.0,867636639.0881803,1059121441.7468475,445049276.3815535,10742661.153628794,1482.0,1161.0,6426.0,2195.0,3065.0,39.0,58.0,346.0,620.0,3845.0,620.0
19290,0,0,2,5474,190.0,174.0,797.0,1612,175.0,5.0,0.0,0.0,7.0,190.0,39879207.00809612,3051274.63388077,5971487.659011789,34079.46054026001,171.0,82.0,707.0,419.0,439.0,2.0,0.0,43.0,33.0,527.0,33.0
19300,0,0,2,9057,244.0,219.0,182.0,2797,116.0,4.0,106.0,0.0,104.0,266.0,61996311.569057874,1193831.69977005,1789956.4362794156,4451943.1081843255,143.0,1694.0,562.0,357.0,121.0,3.0,12.0,9.0,42.0,929.0,42.0
19318,14,0,0,24773,524.0,463.0,110.0,3478,464.0,0.0,0.0,0.0,289.0,257.0,260694630.6594053,1991440790.2070062,89223959.57369474,308442.05869744305,345.0,2159.0,2319.0,132.0,112.0,3.0,15.0,173.0,91.0,168.0,91.0
19355,0,0,1,14004,775.0,705.0,1452.0,5232,663.0,58.0,9.0,1.0,28.0,759.0,250479927.50869197,406035376.8532936,58760303.544771284,504388.6954515611,1578.0,55.0,3837.0,944.0,317.0,1.0,10.0,247.0,1176.0,843.0,1176.0
19364,0,18,49,21965,348.0,307.0,1277.0,2824,298.0,4.0,2.0,0.0,19.0,325.0,85018276.0012695,120245097.54045075,11504749.170275927,75046.19192884801,536.0,155.0,1958.0,418.0,276.0,3.0,2.0,59.0,316.0,945.0,316.0
19392,0,0,1,5863,457.0,378.0,1534.0,2585,383.0,3.0,2.0,0.0,19.0,458.0,81872771.5047063,44358335.8085482,58431287.37358154,1304906.7002343521,447.0,26.0,1442.0,521.0,580.0,8.0,0.0,56.0,192.0,1120.0,192.0
19397,0,0,12,6194,297.0,257.0,1308.0,5309,248.0,2.0,1.0,1.0,9.0,277.0,165014032.5986796,105316453.24396184,216008650.96842253,583722.7804712951,285.0,45.0,3581.0,1075.0,174.0,4.0,1.0,106.0,285.0,1231.0,285.0
19418,6,0,4,27386,107.0,71.0,464.0,4286,70.0,1.0,0.0,0.0,16.0,78.0,439071075.372235,2598492305.2541513,24234672.69806083,1265459.3443351295,1167.0,2088.0,2919.0,195.0,73.0,4.0,22.0,577.0,254.0,205.0,254.0
