TIPO_REG,PAIS,P_DEPTO,P_MUNIC,UC_UO,ENCUESTA,COD_VEREDA,ID_CONST,P_S10P122,P_S10P123
G,170,19,19001,00000000,007382680,19001021,1,59,7.8243199916
G,170,19,19001,00000000,007382680,19001021,2,27,17.604719981
G,170,19,19001,00000000,081334507,19001999,1,27,36.665393375
G,170,19,19001,00000000,081334507,19001999,2,24,36.665393375
G,170,19,19001,00000000,081382457,19001021,1,59,7.6273335726
G,170,19,19001,00000000,081382457,19001021,2,27,45.764001435
G,170,19,19001,00000000,081382589,19001008,1,27,14.430457235
G,170,19,19001,00000000,081382720,19001016,1,3,21.796911085
G,170,19,19001,00000000,082024523,19001008,1,59,74.057689811
G,170,19,19001,00000000,082024523,19001008,2,27,11.108653472
G,170,19,19001,00010000,001063065,19001014,1,9,46.976792997
G,170,19,19001,00010000,001063065,19001014,2,9999999916,208.78574665
G,170,19,19001,00010000,001221751,19001019,1,22,9636.7912731
G,170,19,19001,00010000,082026162,19001014,1,9,249.12226867
G,170,19,19001,00010000,082026164,19001014,1,9,200.37029727
G,170,19,19001,00010001,000114864,19001014,1,19,449.46730038
G,170,19,19001,00020000,001221963,19001019,1,9,34.795010483
G,170,19,19001,00020000,081063072,19001014,1,59,134099.2774
G,170,19,19001,00020000,081063072,19001014,2,39,4022.9783221
G,170,19,19001,00020000,081063072,19001014,3,42,80459.566442
G,170,19,19001,00020000,081235080,19001005,1,59,14.476704066
G,170,19,19001,00020000,081526039,19001005,1,27,14.494434898
G,170,19,19001,00020000,081526101,19001005,1,59,11.564970483
G,170,19,19001,00020000,081526158,19001005,1,27,12.784932462
G,170,19,19001,00020000,082026238,19001005,1,27,10.53983842
G,170,19,19001,00020000,082026238,19001005,2,59,10.53983842
G,170,19,19001,00020000,082026240,19001005,1,27,14.709778868
G,170,19,19001,00020000,082026434,19001005,1,27,13.476759897
G,170,19,19001,00020000,082026758,19001005,1,27,14.949807425
G,170,19,19001,00020000,082026759,19001005,1,59,17.309363363
G,170,19,19001,00020001,000113712,19001019,1,9,19.739266173
G,170,19,19001,00020001,000114906,19001014,1,39,216.94111437
G,170,19,19001,00020001,000114906,19001014,2,42,4338.8222874
G,170,19,19001,00040000,081382521,19001001,1,22,355.15581664
G,170,19,19001,00040000,081382521,19001001,2,42,29.596318053
G,170,19,19001,00050000,001221951,19001019,1,48,1311.2309396
G,170,19,19001,00050000,001221951,19001019,2,22,1092.6924497
G,170,19,19001,00050000,082025842,19001014,1,19,7.8337025216
G,170,19,19001,00050000,082025842,19001014,2,9999999916,0.9400443026
G,170,19,19001,00050000,082025842,19001014,3,27,23.501107565
G,170,19,19001,00060000,082026749,19001016,1,9,17.176184108
G,170,19,19001,00070000,081301435,19001021,1,22,30.484866952
G,170,19,19001,00080000,000114760,19001004,1,9999999916,852.96052368
G,170,19,19001,00080000,081062964,19001004,1,9,133.96064957
G,170,19,19001,00080000,082025735,19001001,1,28,725.30700467
G,170,19,19001,00080000,082025735,19001001,2,27,543.9802535
G,170,19,19001,00080001,000114729,19001006,1,9999999916,39708.504793
G,170,19,19001,00086443,000113857,19001019,1,22,29.117582035
G,170,19,19001,00086443,000113857,19001019,2,9999999916,14.558791017
G,170,19,19001,00090000,001000430,19001009,1,3,35641.380658
G,170,19,19001,00090001,000114759,19001004,1,9,62.667454395
G,170,19,19001,00120000,081221909,19001022,1,22,68.330518844
G,170,19,19001,00120000,081221909,19001022,2,9,34.165259422
G,170,19,19001,00120000,081221909,19001022,3,27,32.456996451
G,170,19,19001,00120000,081221909,19001022,4,59,8.5413148555
G,170,19,19001,00120000,081234813,19001021,1,19,42.059506319
G,170,19,19001,00120000,081234813,19001021,2,27,1.8926777844
G,170,19,19001,00120001,000114515,19001022,1,22,2959.3033846
G,170,19,19001,00120001,000114515,19001022,2,27,1775.5820308
G,170,19,19001,00120001,000114515,19001022,3,27,1479.6516923
G,170,19,19001,00120001,000114515,19001022,4,28,1479.6516923
G,170,19,19001,00120001,000114515,19001022,5,22,2959.3033846
G,170,19,19001,00120001,000114515,19001022,6,9,1479.6516923
G,170,19,19001,00120001,000114515,19001022,7,10,1479.6516923
G,170,19,19001,00130001,000113820,19001019,1,9999999916,74.976408582
G,170,19,19001,00140000,081221744,19001022,1,9,272.2242016
G,170,19,19001,00150000,001713573,19001010,1,27,75746.138532
G,170,19,19001,00150000,081221609,19001022,1,9,286.2732458
G,170,19,19001,00150000,081221615,19001022,1,27,87.69734276
G,170,19,19001,00160000,082024731,19001020,1,9,132.63165139
G,170,19,19001,00160000,082024732,19001020,1,9,135.16378573
G,170,19,19001,00170000,082026259,19001014,1,51,467.21780863
G,170,19,19001,00170000,082026259,19001014,2,9,31.147853909
G,170,19,19001,00180000,081410749,19001021,1,39,185.03267132
G,170,19,19001,00180000,081410749,19001021,2,22,333.05880838
G,170,19,19001,00180000,081410749,19001021,3,3,74.013068528
G,170,19,19001,00180000,082024751,19001020,1,9999999916,824.9853931
G,170,19,19001,00180000,501002580,19001002,1,9999999916,4405.2421273
G,170,19,19001,00190000,001221971,19001019,1,59,18.642766787
G,170,19,19001,00190000,081221816,19001011,1,3,29.291245807
G,170,19,19001,00190001,000114723,19001011,1,3,3706.738126
G,170,19,19001,00200000,001382551,19001007,1,9,32.62367785
G,170,19,19001,00220000,081301217,19001022,1,9,454.15273353
G,170,19,19001,00220000,081301225,19001022,1,9,37.21105105
G,170,19,19001,00220000,081382796,19001014,1,9,66.601476469
G,170,19,19001,00220000,082025906,19001022,1,9999999916,13.265502386
G,170,19,19001,00220000,082025906,19001022,2,9,13.265502386
G,170,19,19001,00220000,082026267,19001014,1,9,79.026566878
G,170,19,19001,00220001,022712920,19001002,1,3,6.9586389803
G,170,19,19001,00220001,022712920,19001002,2,48,139.17277961
G,170,19,19001,00220001,022712920,19001002,3,19,6.9586389803
G,170,19,19001,00220001,022712920,19001002,4,19,173.96597451
G,170,19,19001,00230000,081526059,19001014,1,9,58.867453732
G,170,19,19001,00230000,088026505,19001002,1,59,140.90071663
G,170,19,19001,00240001,000114762,19001007,1,10,86.689019711
G,170,19,19001,00250000,081221853,19001018,1,9999999916,14.511817966
G,170,19,19001,00250000,082026157,19001012,1,9,62.495780248
G,170,19,19001,00257194,000114920,19001012,1,9,48.48470931
G,170,19,19001,00260000,007382577,19001017,1,45,14.02660293
G,170,19,19001,00260000,081235016,19001016,1,24,1877.9229383
G,170,19,19001,00260000,081235016,19001016,2,27,1877.9229383
G,170,19,19001,00260001,000113802,19001019,1,9999999916,2533.8906903
G,170,19,19001,00270000,081221699,19001011,1,9,10.556831322
G,170,19,19001,00270000,087024816,19001018,1,22,17.436187885
G,170,19,19001,00270000,087024816,19001018,2,27,17.436187885
G,170,19,19001,00270001,000114754,19001011,1,9999999916,607.70847848
G,170,19,19001,00280000,081235003,19001022,1,9,479.78226449
G,170,19,19001,00280000,081235003,19001022,2,24,479.78226449
G,170,19,19001,00280000,081235011,19001018,1,9999999916,47.701543902
G,170,19,19001,00280000,081235011,19001018,2,24,149.06732469
G,170,19,19001,00280000,081301218,19001022,1,24,771.36266483
G,170,19,19001,00280000,081334744,19001022,1,9,692.8312794
G,170,19,19001,00280000,081382798,19001012,1,9,365.34503711
G,170,19,19001,00280000,082025907,19001022,1,9,363.52412
G,170,19,19001,00280000,082025907,19001022,2,9999999916,727.04824001
