TIPO_REG,PAIS,P_DEPTO,P_MUNIC,UC_UO,ENCUESTA,COD_VEREDA,P_S7PNUMPEZ,P_S7P96,P_S7P97,P_S7P98,P_S7P99,P_S7P100
7,170,19,19001,00000000,081334507,19001999,18,41190400,12,1,6500,78
7,170,19,19001,00010000,001063065,19001014,1,41190400,1,300,250,75
7,170,19,19001,00260000,081235016,19001016,18,41190400,1,300,250,75
7,170,19,19001,00280000,081235003,19001022,18,41190400,1,50,500,25
7,170,19,19001,00280000,081235011,19001018,18,41190400,1,36,250,9
7,170,19,19001,00280000,081301218,19001022,18,41190400,1,100,500,50
7,170,19,19001,00280000,082025907,19001022,18,41199900,1,150,500,75
7,170,19,19001,00280000,082025908,19001022,18,41199900,1,50,500,25
7,170,19,19001,00350000,081334455,19001017,18,41190200,5,6000,320,9600
7,170,19,19001,00430000,082026763,19001022,18,41190400,0,0,0,0
7,170,19,19001,00430001,022713284,19001022,1,41190400,0,0,0,0
7,170,19,19001,00480000,081234992,19001022,18,41190400,1,50,500,25
7,170,19,19001,00490000,081334495,19001017,18,41190200,4,1000,250,1000
7,170,19,19001,00840000,081301446,19001015,18,41190200,1,250,125,31.25
7,170,19,19001,00880000,001221697,19001011,1,41190400,1,1000,250,250
7,170,19,19001,00880001,000114783,19001011,1,41190400,2,5000,2.5,25
7,170,19,19001,01000000,081410466,19001002,18,41190400,0,0,0,0
7,170,19,19001,01000001,022713354,19001002,1,41190400,0,0,0,0
7,170,19,19001,01140000,081235185,19001011,18,41190400,1,200,1000,200
7,170,19,19001,01140000,081235185,19001011,28,41190500,1,200,1000,200
7,170,19,19001,02110001,000113314,19001019,1,41190400,11,15,2.5,0.4125
7,170,19,19001,02720001,000114608,19001022,1,41190400,1,100,2.5,0.25
7,170,19,19001,03290000,002025814,19001009,1,41190400,1,500,5,2.5
7,170,19,19001,03460000,081062814,19001002,18,41180700,7,20,500,70
7,170,19,19001,03460000,081062814,19001002,28,41190300,10,20,500,100
7,170,19,19001,03460000,081062814,19001002,38,41190400,11,20,500,110
7,170,19,19001,03460000,081062814,19001002,48,41190500,8,20,500,80
7,170,19,19001,03460000,081062814,19001002,58,41190800,10,28,500,140
7,170,19,19001,03460001,022713200,19001002,5,41190800,9,20,5,0.9
7,170,19,19001,03770000,081382529,19001001,18,41190300,2,1000,300,600
7,170,19,19001,03770000,081382529,19001001,28,41190400,2,200,500,200
7,170,19,19001,03790000,002065138,19001009,1,41190400,0,0,0,0
7,170,19,19001,04480000,082026429,19001001,18,41190300,3,600,600,1080
7,170,19,19001,04480000,082026429,19001001,28,41190400,6,300,400,720
7,170,19,19001,06690000,081301555,19001013,18,41190200,4,32,125,16
7,170,19,19001,07790000,082026493,19001002,18,41190400,10,10,2,0.2
7,170,19,19001,08100000,008382482,19001002,1,41190400,10,1,500,5
7,170,19,19001,08100000,088382428,19001002,18,41190400,10,1,500,5
7,170,19,19001,08450000,002024604,19001022,1,41190300,2,2500,600,3000
7,170,19,19001,08450000,002024604,19001022,2,41190400,2,3000,450,2700
