TIPO_REG,PAIS,P_DEPTO,P_MUNIC,UC_UO,ENCUESTA,COD_VEREDA,P_S8_NUMPEZDUL,P_S8P1141,P_S8P1151,P_S8P115A1,P_S8P1161,P_S8P116A1,P_S8_NUMPEZSAL,P_S8P1142,P_S8P1152,P_S8P115A2,P_S8P1162,P_S8P116A2
8,170,19,19001,00150000,001221796,19001019,1,41190400,9,1,5,1,,,,0,,0
8,170,19,19001,00170000,002025988,19001014,1,41222300,5,1,0,0,,,,0,,0
8,170,19,19001,00260000,081235016,19001016,18,41190600,3,1,0,0,,,,0,,0
8,170,19,19001,00280000,081235003,19001022,18,41229900,3,1,3,1,,,,0,,0
8,170,19,19001,00280000,081235011,19001018,18,41120101,50,1,50,1,,,,0,,0
8,170,19,19001,00280000,081301218,19001022,18,41120101,20,1,20,1,,,,0,,0
8,170,19,19001,00350000,081334455,19001017,18,41120101,850,1,850,1,,,,0,,0
8,170,19,19001,00360000,081234809,19001017,18,41120101,850,1,850,1,,,,0,,0
8,170,19,19001,00400000,001411897,19001013,1,41190200,1,1,0,0,,,,0,,0
8,170,19,19001,00480000,081234992,19001022,18,41190400,0,0,0,0,,,,0,,0
8,170,19,19001,00760000,082026465,19001020,18,41229900,3,1,1,1,,,,0,,0
8,170,19,19001,00800000,082025848,19001009,18,41229900,0,0,0,0,,,,0,,0
8,170,19,19001,00840000,081301446,19001015,18,41190200,0,0,0,0,,,,0,,0
8,170,19,19001,00880000,001221697,19001011,1,41220700,0,0,0,0,,,,0,,0
8,170,19,19001,00880001,000114783,19001011,1,41222300,0,0,0,0,0,,0,0,0,0
8,170,19,19001,00888986,000114784,19001011,1,41222300,1,1,1,1,0,,0,0,0,0
8,170,19,19001,00980000,081221980,19001004,18,41190500,0,0,10,1,,,,0,,0
8,170,19,19001,01130000,082025847,19001009,18,41220700,1,1,1,1,,,,0,,0
8,170,19,19001,01140000,081235185,19001011,18,41120199,10,1,10,1,,,,0,,0
8,170,19,19001,01140000,081235185,19001011,28,41190500,10,1,10,1,,,,0,,0
8,170,19,19001,01160000,082025971,19001014,18,41220500,3,1,0,0,,,,0,,0
8,170,19,19001,02110001,000113314,19001019,1,41120199,5,1,4,1,0,,0,0,0,0
8,170,19,19001,02240001,000114617,19001022,1,41220700,20,1,20,1,0,,0,0,0,0
8,170,19,19001,02750000,082024793,19001002,18,41190200,3,1,4.5,1,,,,0,,0
8,170,19,19001,02850000,081221868,19001016,18,41120199,1,1,0,0,,,,0,,0
8,170,19,19001,03070000,081235019,19001016,18,41190300,600,1,250,1,,,,0,,0
8,170,19,19001,03070000,081235019,19001016,28,41190400,150,1,0,0,,,,0,,0
8,170,19,19001,03770000,081382529,19001001,18,42129900,1500,1,1500,1,,,,0,,0
8,170,19,19001,03870000,081334742,19001022,18,41120101,85,1,85,1,,,,0,,0
8,170,19,19001,04480000,082026429,19001001,18,41190400,150,1,150,1,,,,0,,0
8,170,19,19001,04480000,082026429,19001001,28,41190300,1,1,1,1,,,,0,,0
8,170,19,19001,04530000,081063037,19001016,18,41120199,0,0,0,0,,,,0,,0
8,170,19,19001,06190001,000113920,19001008,1,42129900,2,1,0,0,0,,0,0,0,0
8,170,19,19001,06530001,000114433,19001008,1,41190400,0,0,0,0,0,,0,0,0,0
