TIPO_REG,PAIS,P_DEPTO,P_MUNIC,UC_UO,ENCUESTA,COD_VEREDA,ID_MAQ,P_S9P118,P_S9P119,P_S9P120
9,170,19,19001,00000000,081334507,19001999,1,441230300,5,0
9,170,19,19001,00000000,081382720,19001016,1,9999999915,1,0
9,170,19,19001,00010000,001221751,19001019,1,9999999915,1,1
9,170,19,19001,00010000,001221751,19001019,3,441230300,1,0
9,170,19,19001,00010000,001221751,19001019,4,439110800,0,1
9,170,19,19001,00010000,001221751,19001019,5,461130100,1,0
9,170,19,19001,00010000,002025112,19001020,1,441230300,1,0
9,170,19,19001,00010000,002026153,19001014,1,441230300,1,0
9,170,19,19001,00010000,082026162,19001014,1,441500300,1,0
9,170,19,19001,00010000,082064891,19001005,1,,,
9,170,19,19001,00010000,088273686,19001002,1,,,
9,170,19,19001,00010001,000113737,19001014,1,423200101,1,0
9,170,19,19001,00010001,000114139,19001008,1,,,
9,170,19,19001,00020000,001221963,19001019,1,491100000,0,1
9,170,19,19001,00020000,001221963,19001019,3,441310100,0,1
9,170,19,19001,00020000,001221963,19001019,4,9999999915,1,0
9,170,19,19001,00020000,081063072,19001014,1,441230401,0,1
9,170,19,19001,00020000,081063072,19001014,3,441230300,0,1
9,170,19,19001,00020000,081063072,19001014,4,432320300,0,1
9,170,19,19001,00020000,081063172,19001005,1,441230300,0,1
9,170,19,19001,00020000,081382575,19001005,1,441230300,1,0
9,170,19,19001,00020001,000113712,19001019,1,441499902,0,1
9,170,19,19001,00020001,000113712,19001019,3,499120300,1,0
9,170,19,19001,00020001,000113712,19001019,4,441310100,1,2
9,170,19,19001,00020001,000114906,19001014,1,441230401,0,1
9,170,19,19001,00020001,000114906,19001014,2,441230300,0,1
9,170,19,19001,00020001,000114906,19001014,3,432320300,0,1
9,170,19,19001,00040000,081382521,19001001,1,441230401,0,1
9,170,19,19001,00040000,081382521,19001001,3,432320300,0,1
9,170,19,19001,00040000,081382521,19001001,4,432200900,0,1
9,170,19,19001,00040000,082026741,19001016,1,9999999915,1,0
9,170,19,19001,00040000,082064997,19001018,1,441230300,1,0
9,170,19,19001,00050000,001221951,19001019,1,441499901,1,1
9,170,19,19001,00050000,001221951,19001019,3,9999999915,0,5
9,170,19,19001,00050000,081568723,19001001,1,,,
9,170,19,19001,00050000,082025830,19001014,1,9999999915,1,0
9,170,19,19001,00050000,082025830,19001014,3,441500300,1,0
9,170,19,19001,00050000,082025830,19001014,4,441230300,1,0
9,170,19,19001,00050001,000113768,19001019,1,444400800,0,1
9,170,19,19001,00050001,000113768,19001019,3,482190000,0,1
9,170,19,19001,00050001,000113768,19001019,4,441499902,1,0
9,170,19,19001,00050001,000113768,19001019,5,441500300,0,1
9,170,19,19001,00050001,000113768,19001019,6,429210000,0,1
9,170,19,19001,00050001,000113768,19001019,7,441190000,0,1
9,170,19,19001,00060000,082026749,19001016,1,9999999915,20,0
9,170,19,19001,00070000,081301435,19001021,1,9999999915,0,1
9,170,19,19001,00080000,000114760,19001004,1,441230300,,1
9,170,19,19001,00080000,007274209,19001006,1,,,
9,170,19,19001,00080000,082025735,19001001,1,441230300,0,1
9,170,19,19001,00080001,000113767,19001019,1,432320300,2,0
9,170,19,19001,00080001,000113767,19001019,3,432320300,2,0
9,170,19,19001,00086443,000113857,19001019,1,432320300,2,0
9,170,19,19001,00086443,000113857,19001019,3,441230300,2,0
9,170,19,19001,00090000,082024810,19001021,1,,,
9,170,19,19001,00100000,081334700,19001013,1,441230401,0,1
9,170,19,19001,00110000,081208396,19001004,1,,,
9,170,19,19001,00120000,001568581,19001021,1,,,
9,170,19,19001,00120000,081221909,19001022,1,441230401,0,1
9,170,19,19001,00120000,081221909,19001022,3,441230300,0,1
9,170,19,19001,00120000,081221909,19001022,4,432320300,0,1
9,170,19,19001,00120000,081234813,19001021,1,441230300,0,8
9,170,19,19001,00120000,081234813,19001021,3,432320300,5,0
9,170,19,19001,00120000,081234813,19001021,4,432200900,5,0
9,170,19,19001,00120000,081410451,19001021,1,,,
9,170,19,19001,00120000,081910041,19001017,1,,,
9,170,19,19001,00120000,082024657,19001021,1,441230300,1,0
9,170,19,19001,00120001,000113734,19001020,1,423200101,1,0
9,170,19,19001,00120001,000114515,19001022,1,491100000,0,1
9,170,19,19001,00120001,000114515,19001022,3,441230401,0,1
9,170,19,19001,00120001,000114515,19001022,4,432320300,0,1
9,170,19,19001,00120001,000114515,19001022,5,441230300,0,1
9,170,19,19001,00120001,000114515,19001022,6,0,0,1
9,170,19,19001,00120001,000114515,19001022,7,441230300,0,1
9,170,19,19001,00120001,000114515,19001022,8,444220100,0,1
9,170,19,19001,00130000,081567634,19001005,1,,,
9,170,19,19001,00140000,001410561,19001021,1,9999999915,0,1
9,170,19,19001,00140000,081221744,19001022,1,441230300,1,0
9,170,19,19001,00150000,001221982,19001019,1,9999999915,0,1
9,170,19,19001,00150000,001235066,19001016,1,441230300,0,1
9,170,19,19001,00150000,001713573,19001010,1,9999999915,22,0
9,170,19,19001,00150000,001713573,19001010,3,439220400,3,0
9,170,19,19001,00150000,001713573,19001010,4,432200900,1,0
9,170,19,19001,00150000,001713573,19001010,5,441980200,135,0
9,170,19,19001,00150000,081221861,19001022,1,9999999915,0,1
9,170,19,19001,00160000,081410502,19001999,1,9999999915,0,1
9,170,19,19001,00160000,081410502,19001999,3,441230300,0,1
9,170,19,19001,00170000,001063013,19001011,1,441230300,0,1
9,170,19,19001,00170000,082026258,19001014,1,9999999915,0,1
9,170,19,19001,00170000,082026259,19001014,1,9999999915,0,1
9,170,19,19001,00170000,082026259,19001014,3,441230300,0,1
9,170,19,19001,00170001,000113637,19001019,1,441290101,0,1
9,170,19,19001,00170001,000114853,19001014,1,,,
9,170,19,19001,00170001,000114927,19001011,1,432320300,1,1
9,170,19,19001,00174184,000114862,19001014,1,441230300,0,2
9,170,19,19001,00180000,081410749,19001021,1,441230401,1,0
9,170,19,19001,00180000,081410749,19001021,2,461130100,1,0
9,170,19,19001,00180000,081410749,19001021,4,441230300,1,0
9,170,19,19001,00180000,082024751,19001020,1,441230300,0,1
9,170,19,19001,00180000,082025990,19001014,1,9999999915,1,0
9,170,19,19001,00180000,501002580,19001002,1,482510000,20,0
9,170,19,19001,00180000,501002580,19001002,3,444400800,1,0
9,170,19,19001,00180000,501002580,19001002,4,441989900,3,0
9,170,19,19001,00180000,501002580,19001002,5,441980200,3,0
9,170,19,19001,00180000,501002580,19001002,6,441980400,3,0
9,170,19,19001,00180001,000113327,19001019,1,9999999915,0,1
9,170,19,19001,00190000,087000686,19001004,1,,,
9,170,19,19001,00200000,081301206,19001022,1,441230300,0,1
9,170,19,19001,00200001,022713140,19001022,1,9999999915,0,1
9,170,19,19001,00208147,000113777,19001019,1,9999999915,0,1
9,170,19,19001,00210000,081235056,19001022,1,441230300,0,1
9,170,19,19001,00220000,001334528,19001014,1,441230300,0,1
9,170,19,19001,00220000,082025906,19001022,1,441230300,1,0
9,170,19,19001,00220000,082025906,19001022,2,9999999915,0,1
9,170,19,19001,00220001,000114472,19001022,1,,,
9,170,19,19001,00220001,022712920,19001002,1,441230401,1,0
9,170,19,19001,00220001,022712920,19001002,3,439110800,0,0
9,170,19,19001,00220001,022712920,19001002,4,441310100,0,1
9,170,19,19001,00240000,081235141,19001018,1,441230401,0,1
9,170,19,19001,00240000,081301204,19001022,1,9999999915,0,1
9,170,19,19001,00250000,081221853,19001018,1,441230300,0,1
9,170,19,19001,00250000,082025843,19001012,1,491100000,0,1
9,170,19,19001,00250000,082026158,19001012,1,441230300,1,0
9,170,19,19001,00250000,082026158,19001012,3,432200900,1,0
9,170,19,19001,00250000,082066158,19001012,1,441500300,1,0
9,170,19,19001,00250000,082066158,19001012,3,441230300,1,0
9,170,19,19001,00250001,000114919,19001012,1,9999999915,1,0
9,170,19,19001,00250001,000114919,19001012,3,441230300,1,0
9,170,19,19001,00260000,001221789,19001019,1,9999999915,1,0
9,170,19,19001,00260000,087024922,19001018,1,,,
9,170,19,19001,00260001,000113802,19001019,1,441230401,0,1
9,170,19,19001,00270001,022712904,19001010,1,9999999915,5,0
