,DPTO_CCDGO,MPIO_CNMBR,MPIO_CCNCT,DPTO_CNMBR,MPM,MPM_CAB,MPM_CPRD,AFBMO_TOT,AFBMO_CAB,AFBMO_CPRD,BLE_TOT,BLE_CAB,BLE_CPRD,BSCPI_TOT,BSCPI_CAB,BSCPI_CPRD,BASS_TOT,BASS_CAB,BASS_CPRD,TDE_TOT,TDE_CAB,TDE_CPRD,HC_TOT,HC_CAB,HC_CPRD,IEE_TOT,IEE_CAB,IEE_CPRD,IE_TOT,IE_CAB,IE_CPRD,MIPE_TOT,MIPE_CAB,MIPE_CPRD,MIP_TOT,MIP_CAB,MIP_CPRD,RE_TOT,RE_CAB,RE_CPRD,SAFAM_TOT,SAFAM_CAB,SAFAM_CPRD,SAS_TOT,SAS_CAB,SAS_CPRD,TRINF_TOT,TRINF_CAB,TRINF_CPRD,TRIML_TOT,TRIML_CAB,TRIML_CPRD,Municipality code
0,18,FLORENCIA,18001,CAQUETÁ,29.6,27.2,53.3,9.1,8.4,16.7,47.8,45.5,73.6,2.3,2.2,2.8,4.8,4.6,7.1,35.4,35.1,38.6,10.7,11.2,6.4,11.9,12.0,10.0,4.7,4.3,8.7,9.5,10.2,1.4,5.0,4.2,13.1,18.4,17.8,24.8,8.6,3.9,59.6,20.4,20.5,19.0,1.4,1.2,3.3,85.0,84.4,91.5,18001
1,18,ALBANIA,18029,CAQUETÁ,38.8,26.6,48.9,12.1,9.1,14.8,68.7,58.6,77.6,1.1,0.7,1.4,4.1,2.6,5.4,41.6,44.4,39.2,10.0,13.9,6.6,17.1,2.5,29.9,4.7,3.4,5.9,1.8,2.7,1.0,11.5,3.7,18.4,21.4,18.9,23.5,26.3,0.8,48.7,12.0,11.7,12.3,1.9,1.6,2.2,88.1,85.5,90.4,18029
2,18,BELÉN DE LOS ANDAQUÍES,18094,CAQUETÁ,50.0,41.4,66.1,18.4,16.8,21.8,67.5,60.7,81.4,2.7,2.1,3.8,4.2,2.7,7.4,55.7,57.5,52.1,9.1,10.8,5.7,13.7,11.6,18.0,7.8,5.2,13.0,11.0,14.5,4.1,12.2,11.1,14.5,18.9,16.6,23.6,20.8,1.6,60.4,16.6,16.7,16.4,1.9,1.1,3.7,88.6,87.0,92.0,18094
3,18,EL DONCELLO,18247,CAQUETÁ,44.3,37.6,60.7,14.7,13.5,18.1,68.2,62.8,82.6,1.8,1.8,1.8,11.3,7.9,20.6,42.8,45.6,35.3,10.3,12.2,5.0,8.0,4.7,17.1,6.0,5.0,8.7,7.7,10.4,0.5,10.3,7.4,18.2,23.8,21.9,28.9,18.9,4.3,58.5,14.1,14.4,13.5,1.9,1.3,3.7,90.7,89.3,94.4,18247
4,18,EL PAUJÍL,18256,CAQUETÁ,45.5,40.3,53.4,14.7,15.0,14.2,72.5,66.0,81.3,1.8,1.3,2.4,13.7,18.3,7.3,39.4,42.8,34.9,8.6,13.0,2.5,11.5,7.3,17.3,6.5,5.1,8.3,7.5,12.3,1.1,14.8,10.7,20.4,19.7,20.1,19.1,31.8,2.5,71.5,12.7,12.9,12.5,2.6,2.3,2.9,90.0,87.6,93.4,18256
5,18,LA MONTAÑITA,18410,CAQUETÁ,56.2,34.9,61.5,16.3,12.4,17.3,78.3,59.6,83.4,2.6,1.0,3.0,8.9,4.3,10.1,40.1,37.1,40.9,8.4,13.5,7.0,15.0,6.1,17.4,8.7,3.9,10.0,4.0,9.8,2.4,17.6,7.6,20.3,26.9,20.3,28.7,53.5,3.3,67.2,17.7,15.1,18.4,4.0,1.6,4.7,89.0,82.4,90.8,18410
6,18,MILÁN,18460,CAQUETÁ,64.6,38.1,68.7,18.2,16.2,18.6,75.8,56.6,79.6,4.2,0.8,4.9,5.4,0.8,6.3,49.0,47.1,49.4,8.6,15.7,7.2,41.9,6.7,48.8,9.0,3.1,10.2,4.2,14.3,2.2,23.5,6.2,26.9,31.4,21.8,33.3,64.8,5.6,76.3,18.3,15.1,19.0,3.4,1.1,3.8,92.1,82.6,94.0,18460
7,18,MORELIA,18479,CAQUETÁ,42.4,33.6,53.0,13.6,14.5,12.6,67.8,57.2,81.0,1.1,1.0,1.3,7.5,6.3,8.9,40.2,44.5,34.9,11.8,15.2,7.7,12.0,2.2,24.3,6.2,2.6,10.6,6.0,8.3,3.1,11.9,5.8,19.5,23.0,22.0,24.1,24.5,1.5,53.3,13.6,13.7,13.5,1.5,0.6,2.7,86.9,84.1,90.3,18479
8,18,SAN JOSÉ DEL FRAGUA,18610,CAQUETÁ,48.7,41.6,57.6,13.4,11.8,15.5,68.9,62.6,77.4,2.3,1.7,3.3,11.6,14.4,7.8,44.9,44.5,45.3,12.1,15.2,7.8,17.3,13.2,22.9,6.9,4.7,9.8,10.6,17.5,1.4,14.5,9.5,21.3,24.9,23.1,27.4,23.0,2.0,51.1,19.3,17.8,21.2,2.7,2.0,3.5,89.4,86.2,93.7,18610
9,18,VALPARAÍSO,18860,CAQUETÁ,50.0,35.6,59.1,15.0,15.1,14.9,73.6,63.1,80.6,2.3,1.2,3.0,4.3,8.5,1.4,48.3,44.8,50.6,7.7,12.9,4.2,26.7,2.5,43.0,7.8,5.3,9.5,4.4,9.1,1.2,13.0,3.2,19.6,23.8,21.3,25.5,36.0,2.4,58.7,15.3,13.9,16.2,2.3,2.1,2.5,91.9,86.7,95.4,18860
10,18,CARTAGENA DEL CHAIRÁ,18150,CAQUETÁ,63.3,51.3,78.1,16.1,15.5,17.0,78.8,71.0,89.0,5.2,4.1,6.7,7.4,5.7,9.5,48.5,44.0,54.4,12.9,17.3,7.2,26.7,20.4,34.9,13.3,9.6,18.1,22.2,34.5,6.3,16.3,12.7,21.0,34.0,29.5,39.9,36.9,7.8,74.6,22.6,19.8,26.2,4.4,3.3,5.8,94.7,92.4,97.8,18150
11,18,SAN VICENTE DEL CAGUÁN,18753,CAQUETÁ,56.3,42.2,71.7,15.6,13.5,18.0,74.3,63.1,86.8,4.8,2.7,7.3,7.0,7.9,5.9,39.5,33.3,46.5,10.4,14.9,5.4,31.5,26.5,37.3,10.7,6.4,15.5,16.9,29.2,3.0,14.0,8.9,19.7,33.0,28.5,38.0,35.6,2.9,72.5,21.7,17.7,26.2,4.3,3.2,5.5,91.2,86.8,96.2,18753
12,18,SOLANO,18756,CAQUETÁ,71.9,47.2,81.7,16.6,13.3,18.2,72.3,57.6,79.5,6.0,2.0,8.0,10.1,7.8,11.2,56.2,45.9,61.2,10.6,14.9,8.5,34.2,14.4,44.0,14.3,6.1,18.4,11.0,29.3,2.0,8.5,11.8,6.9,37.4,29.5,41.3,56.5,11.2,78.8,30.2,20.3,35.0,3.9,2.6,4.5,92.0,84.3,95.7,18756
13,18,SOLITA,18785,CAQUETÁ,58.1,50.6,69.6,16.4,14.3,19.8,76.4,68.9,89.2,3.2,2.8,3.9,8.9,12.1,3.5,40.7,36.7,47.5,11.5,14.6,6.1,26.0,17.5,40.7,7.4,6.1,9.7,32.1,49.4,2.7,10.0,9.3,11.3,29.4,26.9,33.5,31.2,11.8,64.5,19.9,17.5,24.1,4.5,3.9,5.5,92.6,89.3,98.1,18785
14,18,CURILLO,18205,CAQUETÁ,55.4,50.2,68.0,18.2,17.4,20.3,72.3,68.5,81.8,2.0,1.4,3.4,10.1,8.5,14.0,48.1,49.1,45.4,15.2,18.8,6.5,26.7,21.3,40.1,6.1,5.6,7.4,20.5,28.3,1.0,4.9,4.3,6.4,26.7,25.3,30.2,23.5,5.3,68.7,15.0,14.3,16.7,2.9,2.8,3.1,93.4,92.4,95.9,18205
15,18,PUERTO RICO,18592,CAQUETÁ,54.3,43.8,70.3,17.4,17.3,17.7,74.9,67.5,86.6,2.9,2.5,3.6,12.9,11.9,14.4,45.5,47.4,42.4,10.6,13.8,5.6,16.0,6.3,31.5,9.3,7.1,12.8,7.1,10.3,2.2,17.9,8.2,33.2,28.8,24.4,35.8,29.5,2.3,72.5,17.0,15.8,18.8,4.0,2.6,6.3,91.6,89.2,95.4,18592
16,19,POPAYÁN,19001,CAUCA,18.4,16.3,29.4,5.9,5.0,10.4,37.8,33.5,61.0,1.4,1.4,1.8,8.1,8.5,6.1,31.8,31.2,34.9,7.4,7.8,5.4,5.4,4.4,10.3,2.3,1.8,4.9,6.1,6.3,5.3,5.6,2.7,21.3,11.8,11.3,14.3,3.1,1.8,10.2,17.8,18.4,15.0,0.6,0.5,1.3,81.4,80.2,87.4,19001
17,19,ALMAGUER,19022,CAUCA,62.9,23.9,66.0,24.2,10.1,25.5,81.8,43.0,85.5,1.1,1.4,1.0,5.3,3.7,5.5,52.4,45.6,53.0,7.8,13.2,7.2,54.2,10.1,58.3,6.5,1.4,7.0,0.3,0.9,0.2,80.4,18.8,86.2,15.9,5.2,16.9,56.3,5.4,61.1,6.9,14.1,6.3,2.2,0.9,2.3,94.2,81.9,95.4,19022
18,19,ARGELIA,19050,CAUCA,50.1,30.8,52.7,16.0,11.0,16.7,82.9,62.2,85.7,2.9,1.9,3.0,13.8,10.2,14.2,35.2,34.1,35.3,5.5,13.4,4.4,12.8,9.5,13.3,9.2,2.9,10.1,4.3,5.1,4.2,28.1,8.0,30.9,19.7,17.4,20.0,23.9,3.9,26.7,14.7,16.0,14.5,4.6,3.2,4.8,96.3,89.6,97.2,19050
19,19,BALBOA,19075,CAUCA,47.1,38.6,50.3,16.9,16.0,17.2,80.7,72.1,83.6,1.8,1.8,1.8,7.2,3.1,8.5,35.3,41.1,33.4,6.5,14.5,3.8,16.7,17.1,16.6,7.0,5.9,7.3,2.2,4.0,1.6,50.2,10.8,63.6,16.0,16.1,15.9,45.4,11.5,56.9,8.0,10.2,7.3,3.3,2.4,3.6,95.1,93.7,95.6,19075
20,19,BOLÍVAR,19100,CAUCA,51.1,21.6,55.4,18.4,10.5,19.6,78.2,47.8,82.8,1.4,0.7,1.5,3.0,2.2,3.1,42.1,41.0,42.3,7.3,11.1,6.7,34.3,7.6,38.3,5.8,2.0,6.4,0.5,0.9,0.4,70.3,11.8,79.0,14.0,9.0,14.8,47.7,3.7,54.2,8.0,11.6,7.5,2.3,0.6,2.5,94.7,85.3,96.1,19100
21,19,BUENOS AIRES,19110,CAUCA,42.5,23.1,43.4,15.3,9.9,15.6,69.1,47.6,70.2,2.9,0.9,3.0,5.5,1.8,5.7,38.7,36.7,38.8,4.3,9.2,4.1,17.6,7.2,18.1,4.9,2.5,5.1,2.7,1.2,2.8,35.3,5.8,36.8,18.5,15.9,18.6,40.9,1.6,42.9,15.2,18.2,15.1,2.8,1.8,2.8,90.5,80.6,91.0,19110
22,19,CAJIBÍO,19130,CAUCA,56.9,19.8,59.3,20.0,7.6,20.9,80.3,50.2,82.4,1.7,2.0,1.6,7.8,3.2,8.1,43.1,41.2,43.2,6.1,8.4,6.0,30.5,9.6,32.0,7.7,1.8,8.1,3.3,3.0,3.4,43.6,3.2,46.5,20.2,11.1,20.9,59.2,3.5,63.2,9.9,13.9,9.6,3.6,0.3,3.8,94.3,86.6,94.9,19130
23,19,CALDONO,19137,CAUCA,56.0,26.4,57.6,21.6,9.8,22.4,72.8,39.5,75.0,3.3,2.0,3.4,11.5,6.3,11.9,45.9,38.2,46.5,11.5,11.4,11.5,30.5,24.7,30.8,7.2,1.5,7.6,2.9,1.6,3.0,49.2,10.8,51.8,20.0,8.8,20.8,15.9,3.2,16.8,13.3,22.3,12.7,4.9,1.2,5.2,92.8,83.9,93.4,19137
24,19,CALOTO,19142,CAUCA,37.4,18.0,42.3,13.6,6.4,15.5,55.7,35.5,61.0,1.6,1.1,1.8,5.4,4.0,5.8,40.2,37.1,41.1,7.3,10.3,6.5,18.4,12.6,19.9,3.0,1.4,3.4,12.7,5.8,14.5,36.7,4.1,45.2,17.1,12.2,18.3,28.7,5.0,34.9,12.8,15.6,12.1,1.9,0.2,2.3,86.8,82.1,88.0,19142
25,19,CORINTO,19212,CAUCA,33.7,23.1,48.3,15.5,12.8,19.0,62.7,55.4,72.0,1.2,1.3,1.2,5.6,3.8,7.8,33.6,32.3,35.1,9.3,12.4,5.5,11.7,1.6,24.4,4.6,3.2,6.3,7.7,4.2,12.1,26.3,5.3,52.9,14.6,12.0,17.8,17.8,1.3,38.7,14.6,17.9,10.6,2.3,1.2,3.7,89.0,84.8,94.2,19212
